Filename,Label,Parent Video,Frame Count,,,,,
Shoplifting014_x264_174.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting020_x264_26.mp4,0,Shoplifting020_x264.mp4,120,,,,,
Shoplifting012_x264_32.mp4,0,Shoplifting012_x264.mp4,120,,,,,
Shoplifting043_x264_29.mp4,0,Shoplifting043_x264.mp4,120,,,,,
Shoplifting014_x264_283.mp4,1,Shoplifting014_x264.mp4,120,,,,,
Shoplifting040_x264_125.mp4,0,Shoplifting040_x264.mp4,120,,,,,
Shoplifting012_x264_13.mp4,0,Shoplifting012_x264.mp4,120,,,,,
Shoplifting045_x264_2.mp4,0,Shoplifting045_x264.mp4,120,,,,,
Shoplifting008_x264_43.mp4,1,Shoplifting008_x264.mp4,120,,,,,
Shoplifting009_x264_7.mp4,0,Shoplifting009_x264.mp4,120,,,,,
Shoplifting044_x264_47.mp4,0,Shoplifting044_x264.mp4,120,,,,,
Shoplifting001_x264_16.mp4,1,Shoplifting001_x264.mp4,120,,,,,
Shoplifting021_x264_3.mp4,0,Shoplifting021_x264.mp4,120,,,,,
Shoplifting043_x264_31.mp4,0,Shoplifting043_x264.mp4,120,,,,,
Shoplifting003_x264_86.mp4,0,Shoplifting003_x264.mp4,120,,,,,
Shoplifting034_x264_20.mp4,0,Shoplifting034_x264.mp4,120,,,,,
Shoplifting037_x264_10.mp4,0,Shoplifting037_x264.mp4,120,,,,,
Shoplifting041_x264_89.mp4,0,Shoplifting041_x264.mp4,120,,,,,
Shoplifting044_x264_93.mp4,1,Shoplifting044_x264.mp4,120,,,,,
Shoplifting014_x264_398.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting044_x264_57.mp4,0,Shoplifting044_x264.mp4,120,,,,,
Shoplifting055_x264_29.mp4,0,Shoplifting055_x264.mp4,120,,,,,
Shoplifting027_x264_1.mp4,0,Shoplifting027_x264.mp4,120,,,,,
Shoplifting003_x264_34.mp4,0,Shoplifting003_x264.mp4,120,,,,,
Shoplifting049_x264_0.mp4,0,Shoplifting049_x264.mp4,120,,,,,
Shoplifting014_x264_34.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting030_x264_169.mp4,0,Shoplifting030_x264.mp4,120,,,,,
Shoplifting038_x264_21.mp4,0,Shoplifting038_x264.mp4,120,,,,,
Shoplifting042_x264_10.mp4,0,Shoplifting042_x264.mp4,120,,,,,
Shoplifting014_x264_474.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting051_x264_15.mp4,0,Shoplifting051_x264.mp4,120,,,,,
Shoplifting030_x264_193.mp4,0,Shoplifting030_x264.mp4,120,,,,,
Shoplifting012_x264_47.mp4,0,Shoplifting012_x264.mp4,120,,,,,
Shoplifting012_x264_90.mp4,1,Shoplifting012_x264.mp4,120,,,,,
Shoplifting030_x264_110.mp4,0,Shoplifting030_x264.mp4,120,,,,,
Shoplifting030_x264_167.mp4,0,Shoplifting030_x264.mp4,120,,,,,
Shoplifting041_x264_38.mp4,0,Shoplifting041_x264.mp4,120,,,,,
Shoplifting014_x264_18.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting041_x264_90.mp4,0,Shoplifting041_x264.mp4,120,,,,,
Shoplifting014_x264_66.mp4,0,Shoplifting014_x264.mp4,120,,,,,
Shoplifting034_x264_40.mp4,0,Shoplifting034_x264.mp4,120,,,,,
Shoplifting041_x264_73.mp4,0,Shoplifting041_x264.mp4,120,,,,,
Shoplifting040_x264_55.mp4,0,Shoplifting040_x264.mp4,120,,,,,
Shoplifting052_x264_40.mp4,0,Shoplifting052_x264.mp4,120,,,,,
